,Размер,Вес,Сладость,Хрусткость,Сочность,Спелость,Кислотность,Качество
0,-3.97,-2.512,5.346,-1.012,1.845,0.33,-0.492,1
1,-1.195,-2.839,3.664,1.588,0.853,0.868,-0.723,1
2,-0.292,-1.351,-1.738,-0.343,2.839,-0.038,2.622,0
3,-0.657,-2.272,1.325,-0.098,3.638,-3.414,0.791,1
4,1.364,-1.297,-0.385,-0.553,3.031,-1.304,0.502,1
5,-3.425,-1.409,-1.914,-0.556,-3.853,1.915,-2.982,0
6,1.332,1.636,0.876,-1.678,3.106,-1.847,2.414,1
7,-1.995,-0.429,1.531,-0.743,0.159,0.974,-1.47,1
8,-3.868,-3.735,0.986,-1.208,2.293,4.081,-4.872,0
9,-0.728,-0.443,-4.092,0.598,0.394,1.621,2.186,0
10,-2.699,-1.33,-1.419,-0.626,2.371,3.403,-2.811,0
11,2.451,-0.564,-1.635,0.942,-2.087,1.214,1.294,1
12,-0.171,-1.867,-1.772,2.413,-3.095,-0.625,-2.076,0
13,-1.346,-1.624,2.044,1.755,0.998,0.434,1.724,1
14,2.84,-0.345,-1.02,0.895,-1.3,0.582,1.71,1
15,-2.66,-2.796,4.23,0.698,2.181,-0.089,-1.084,1
16,-1.469,-1.95,-2.214,0.91,2.864,3.966,-0.558,0
17,-0.074,-4.715,0.25,2.935,1.41,-2.644,1.251,1
18,-0.302,1.724,-2.442,3.465,0.45,-0.074,2.494,0
19,-2.108,0.356,-1.156,4.327,1.562,-4.63,-1.377,1
20,-2.335,-2.944,-3.453,0.762,4.076,6.346,0.727,0
21,1.178,-0.722,-1.387,7.62,1.069,-3.735,2.643,1
22,-2.424,-0.699,0.146,0.63,2.991,0.779,3.184,0
23,0.136,-0.754,-2.196,1.039,0.581,0.227,2.087,0
24,0.523,-1.428,-0.744,1.787,-4.208,-1.825,-1.43,0
25,-1.299,-3.505,-1.129,0.556,-2.808,1.715,-3.847,0
26,-0.301,-0.514,0.921,1.378,2.275,0.745,-2.934,1
27,2.0,0.67,-2.1,2.646,-0.989,0.373,-2.398,0
28,1.446,1.657,-1.778,1.709,-0.342,-1.322,-1.158,0
29,-0.596,1.535,-1.769,0.665,-0.433,0.8,1.646,0
30,0.41,-2.26,-3.336,-0.285,-2.734,2.586,-3.037,0
31,-2.561,-0.096,2.414,1.318,3.272,-1.797,-2.637,1
32,1.682,-2.982,-0.08,-0.948,3.035,-0.709,1.167,1
33,-0.589,-1.122,2.324,0.312,5.149,-3.352,5.56,0
34,-0.034,-1.333,2.329,2.863,0.825,1.063,2.3,1
35,-0.955,-2.461,-4.087,0.839,1.003,4.976,-0.981,0
36,-3.061,0.837,-1.077,1.525,1.764,-0.056,-1.495,1
37,3.948,-1.634,-4.774,1.932,0.791,1.583,-2.478,1
38,-1.797,-3.469,3.685,-0.164,1.32,1.48,-2.293,1
39,1.287,-2.43,0.956,1.478,4.786,-3.382,2.519,1
40,1.197,-1.448,-0.922,2.005,0.405,-0.701,1.071,0
41,-0.354,-2.024,1.367,3.234,0.993,1.526,2.741,1
42,-1.539,-2.748,1.845,0.491,-0.426,1.26,-1.681,0
43,0.808,0.753,0.179,1.452,-1.612,-2.776,0.185,0
44,3.93,2.754,-2.668,1.428,0.093,1.096,2.627,1
45,0.033,-0.044,-0.481,4.937,-0.61,-3.232,1.249,1
46,-0.487,-0.769,-0.779,2.025,1.478,0.268,-4.455,1
47,-1.388,2.739,-2.349,0.953,1.861,2.317,3.098,0
48,-3.329,0.653,-1.424,0.727,1.577,2.578,0.651,0
49,-1.107,2.261,-2.635,0.882,-0.024,2.218,2.865,0
50,-2.939,0.524,0.802,-1.476,-0.336,1.431,-2.299,1
51,-0.411,-1.759,-2.214,-0.15,1.576,0.929,1.417,0
52,1.344,-2.514,-3.462,3.841,0.281,-0.025,0.856,1
53,1.205,-1.784,0.653,2.443,1.347,1.115,-1.199,1
54,3.01,-3.423,-3.111,-1.543,3.568,1.696,0.446,1
55,2.033,-0.641,-2.41,2.936,1.675,-0.905,2.287,1
56,1.823,-0.546,-0.368,0.253,-0.789,2.136,-3.344,1
57,1.098,-1.02,1.211,1.26,-1.03,2.623,2.663,1
58,-0.48,-0.079,-0.844,3.05,3.664,-0.366,-1.474,1
59,0.833,0.45,-1.639,-0.631,2.831,-0.669,1.049,1
60,-3.464,1.352,0.458,0.893,3.13,-1.745,-2.205,1
61,-4.674,0.797,-0.897,-1.394,0.492,3.202,-0.586,0
62,-3.341,-1.356,1.434,1.722,0.113,0.689,1.619,0
63,0.455,-2.383,-0.837,-2.366,-0.276,0.852,-0.031,1
64,-2.236,-1.175,1.483,-0.277,1.498,1.076,-0.937,1
65,-3.568,1.044,2.563,0.437,1.679,-5.314,2.072,1
66,-2.189,2.132,0.261,3.886,-3.196,-3.561,0.09,1
67,-1.57,1.06,1.519,1.666,3.069,-1.48,2.769,0
68,-1.129,-0.258,-1.942,-0.021,-0.724,2.662,-0.112,0
69,-0.4,-3.198,-1.251,2.909,-2.314,-0.231,-3.029,0
70,0.61,-3.461,1.337,0.387,-0.137,2.989,-2.045,0
71,2.354,-2.66,2.615,-3.291,4.604,-1.24,3.69,1
72,0.563,-1.828,-4.622,-0.326,2.579,2.482,1.153,0
73,0.039,-1.137,0.478,1.656,-3.256,-0.504,0.529,0
74,-2.16,-1.296,-1.732,0.081,-1.96,2.723,-1.478,0
75,2.161,-1.608,-3.15,1.354,2.169,0.561,1.466,1
76,2.25,1.307,-3.362,-3.292,1.536,2.323,0.172,1
77,0.913,0.238,-0.866,0.411,0.777,-0.691,0.269,0
78,-2.178,0.711,-2.724,-0.795,1.372,2.662,-1.438,0
79,-2.167,-1.73,1.292,2.343,0.313,-0.908,-1.787,0
80,1.907,-0.287,-0.642,-0.91,0.567,0.448,2.331,1
81,-2.451,-2.46,3.311,1.1,1.667,-0.011,-0.908,1
82,2.355,-0.805,-4.047,-0.621,2.721,1.404,-1.735,0
83,1.41,-6.235,0.607,2.782,0.188,-1.656,1.787,1
84,1.756,-2.078,-1.347,1.571,0.206,3.332,-0.16,1
85,-0.49,-2.694,-2.263,1.408,0.894,4.097,-1.193,0
