,Brand,Processor,Operating System,Storage,RAM,Screen Size,Touch_Screen,Price
0,0,0,0,0.5,8,39.62,0,42889
1,0,0,0,0.5,8,39.62,0,41789
2,1,1,1,0.25,8,33.78,0,78089
3,1,1,1,0.25,8,33.78,0,78089
4,1,1,1,0.25,8,33.78,0,78089
5,2,2,0,0.5,16,39.62,0,54989
7,0,3,0,0.5,8,39.62,0,51689
8,3,0,0,0.25,8,39.62,0,30789
9,0,4,0,0.5,8,39.62,0,50589
10,0,3,0,0.5,16,39.62,0,59389
11,0,3,0,1.0,16,35.56,0,73698
12,4,3,0,0.5,8,39.62,0,50598
13,3,3,0,2.0,8,39.62,0,52789
14,3,5,0,0.25,4,39.62,0,21989
15,0,3,0,0.5,8,39.62,0,54989
16,3,6,0,0.5,16,39.62,0,85789
18,5,7,0,0.5,8,39.62,0,32989
19,0,4,0,0.5,16,35.56,0,60489
20,0,3,0,0.5,16,39.62,0,73689
21,4,0,0,0.5,8,39.62,0,39578
22,6,3,0,0.5,16,39.62,0,52789
23,3,0,0,0.5,8,39.62,0,43989
24,0,0,0,0.5,8,39.62,0,42889
25,0,0,0,0.5,8,39.62,0,41789
26,4,0,0,0.5,8,96.52,0,40128
27,2,0,0,0.5,8,100.63,0,39589
28,0,3,0,0.5,8,39.62,0,51689
29,0,3,0,0.5,16,39.62,0,59389
30,0,4,0,0.5,8,39.62,0,42889
31,0,4,0,0.5,16,40.89,0,97247
32,7,4,0,0.5,8,35.56,0,37389
33,0,3,0,1.0,16,35.56,0,73698
34,0,3,0,0.5,8,39.62,0,54989
35,3,0,0,2.0,16,39.62,0,37389
36,7,3,0,0.5,16,39.62,0,58289
37,3,6,0,0.5,16,39.62,0,85789
38,0,4,0,0.5,16,35.56,0,60489
39,4,0,0,0.5,8,39.62,0,39578
40,7,6,0,2.0,16,39.62,0,60489
41,7,0,0,0.5,8,35.56,0,31889
42,3,0,0,0.5,8,39.62,0,40689
43,0,3,0,0.5,16,39.62,0,73689
44,0,3,0,0.5,8,39.62,0,59389
45,8,0,0,0.5,8,35.56,0,30789
46,7,2,0,4.0,16,39.62,0,73458
47,0,0,0,0.5,8,39.62,0,42889
48,0,0,0,0.5,8,39.62,0,41789
49,0,8,2,0.5,8,39.62,1,33550
50,9,5,0,0.125,4,35.81,0,13189
51,5,3,0,0.5,16,39.62,0,63789
52,0,3,0,0.5,8,39.62,0,51689
53,0,3,0,0.5,16,39.62,0,59389
54,5,2,0,1.0,16,39.62,0,98989
55,3,0,0,1.0,8,39.62,0,40689
56,0,3,0,1.0,16,35.56,0,73698
57,0,3,0,0.5,8,39.62,0,54989
58,3,0,0,2.0,8,39.62,0,47887
59,10,5,0,0.25,8,35.81,0,20889
60,2,0,0,0.5,8,39.62,0,36124
62,3,6,0,0.5,16,39.62,0,85789
63,0,4,0,0.5,16,35.56,0,60489
64,3,9,0,1.0,8,39.62,0,37389
66,0,3,0,0.5,16,39.62,0,73689
67,0,3,0,0.5,8,39.62,0,59389
68,4,3,0,1.0,8,39.62,0,54989
69,2,3,0,0.5,16,40.64,0,67309
70,1,10,3,0.25,8,33.78,0,109989
71,6,3,0,0.5,8,39.62,0,76989
72,0,0,0,0.5,8,39.62,0,41789
73,0,3,0,0.5,8,39.62,0,51689
74,2,4,0,0.5,8,100.63,0,50589
75,0,0,0,0.5,8,39.62,0,44539
76,0,3,0,0.5,16,39.62,0,59389
77,0,3,0,1.0,16,35.56,0,73698
78,5,0,0,0.25,8,39.62,0,32978
79,8,0,0,0.5,8,39.62,0,28589
80,3,3,0,1.0,8,39.62,0,52789
81,0,3,0,0.5,16,39.62,0,73689
82,0,3,0,0.5,8,39.62,0,54989
83,3,6,0,0.5,16,39.62,0,85789
84,3,6,0,0.5,16,35.56,1,71489
85,0,4,0,0.5,8,39.62,0,47839
86,0,4,0,0.5,16,35.56,0,60489
87,0,3,0,0.5,8,39.62,0,59389
88,3,7,0,0.5,8,39.62,0,50589
89,3,0,0,0.5,8,35.56,0,39589
90,8,3,0,0.5,16,39.62,0,38489
91,0,3,0,0.5,16,39.62,1,97559
