age,overall,pace,shooting,passing,dribbling,defending,physic
32,94,87,92,92,96,39,66
34,93,90,93,82,89,35,78
27,92,91,85,87,95,32,58
28,91,91,83,86,94,35,66
28,91,76,86,92,86,61,78
27,90,77,60,70,71,90,86
33,90,74,76,89,89,72,66
27,90,93,86,81,89,45,74
20,89,96,84,78,90,39,75
28,89,71,28,54,67,89,87
25,89,70,91,79,81,47,83
28,89,78,65,77,81,87,83
34,89,68,46,58,60,90,82
31,89,80,90,77,88,33,74
33,89,72,68,75,73,87,85
32,89,73,89,80,84,51,84
30,89,77,87,74,85,41,82
30,89,42,62,80,80,85,80
28,89,81,86,84,89,57,72
25,88,83,82,84,90,43,64
26,88,74,81,86,85,66,86
24,88,93,79,78,89,45,57
27,88,73,81,90,84,53,63
32,88,56,61,72,68,88,80
33,88,65,74,88,89,52,57
32,88,75,86,72,79,55,83
33,88,60,48,64,61,89,83
29,88,45,80,90,81,70,69
30,88,85,88,84,87,45,66
30,88,94,85,75,80,37,69
27,88,94,83,77,89,44,74
25,87,64,50,71,68,88,82
24,87,81,76,83,92,51,67
27,87,62,72,75,72,85,89
26,87,88,86,80,87,42,68
34,87,66,74,79,78,84,79
34,87,62,54,72,72,87,78
31,87,76,82,80,86,39,77
32,87,63,63,74,72,87,79
32,87,88,83,80,91,35,53
30,87,51,58,76,72,89,76
30,87,64,55,72,66,88,79
30,87,90,69,81,83,79,73
28,87,69,74,85,90,69,63
28,87,89,79,85,91,35,47
23,86,95,81,79,86,38,70
25,86,74,41,73,70,86,77
24,86,69,41,59,66,87,82
26,86,65,60,84,90,79,66
25,86,69,63,69,69,86,82
24,86,72,69,86,84,79,78
27,86,71,77,83,91,59,60
27,86,77,82,80,87,61,78
31,86,62,81,86,81,74,70
29,86,68,68,87,85,75,67
31,86,84,79,84,87,48,68
32,86,58,58,69,70,87,79
27,86,79,80,84,90,52,64
30,86,41,80,88,79,70,69
29,86,72,83,79,78,55,71
29,86,80,85,63,81,39,76
28,86,82,85,75,86,40,74
19,85,67,58,66,68,83,84
22,85,79,64,84,87,76,76
26,85,83,45,62,63,85,80
23,85,72,42,55,50,86,82
24,85,67,79,80,83,77,84
23,85,67,68,77,77,82,80
24,85,70,78,79,81,78,78
25,85,68,69,78,77,85,83
25,85,85,62,77,79,80,75
24,85,69,45,52,54,86,82
24,85,75,45,68,65,86,80
24,85,77,83,87,85,65,74
26,85,75,82,73,72,35,84
28,85,82,25,42,60,86,81
27,85,83,73,81,80,80,76
26,85,75,84,61,77,36,69
27,85,81,47,78,81,82,80
26,85,80,75,86,83,50,66
37,85,56,88,77,77,34,78
31,85,89,78,81,86,39,55
31,85,63,85,71,80,31,71
32,85,75,66,76,78,83,81
29,85,91,87,82,82,58,76
31,85,81,74,83,89,77,79
30,85,73,74,80,79,83,81
28,85,83,65,77,80,82,82
31,85,78,84,77,85,35,64
27,85,68,75,86,82,74,79
27,85,55,86,87,86,50,63
28,85,75,71,78,84,85,84
19,84,88,72,77,90,36,60
20,84,84,78,79,84,44,65
22,84,93,79,80,87,36,57
25,84,90,65,80,84,78,71
23,84,72,81,79,82,71,79
23,84,81,54,70,71,83,82
22,84,69,71,81,86,73,70
25,84,87,80,81,84,32,78
24,84,81,77,80,81,75,79
23,84,82,78,81,85,40,68
23,84,92,76,77,87,29,60
23,84,90,82,75,86,43,69
25,84,78,82,81,88,33,77
26,84,71,76,84,85,49,59
26,84,85,72,84,81,80,76
27,84,66,41,62,68,86,74
26,84,89,77,79,89,55,61
36,84,67,51,57,60,85,85
32,84,56,75,85,82,71,67
31,84,69,77,83,83,72,69
31,84,72,51,52,60,84,83
32,84,62,66,76,78,83,73
30,84,70,72,86,84,24,56
30,84,48,55,69,63,86,83
33,84,60,84,71,75,46,73
28,84,77,73,78,84,76,78
30,84,84,80,78,82,62,77
33,84,68,80,71,75,65,86
32,84,67,79,80,78,85,86
30,84,66,50,72,65,84,82
29,84,70,55,77,73,85,76
32,84,89,78,75,83,47,64
28,84,66,74,84,84,72,71
30,84,72,81,77,80,78,85
29,84,91,63,76,77,81,81
28,84,78,79,83,81,51,66
28,84,94,73,79,91,43,61
29,84,77,77,84,81,63,68
30,84,68,80,84,85,41,71
31,84,70,84,84,85,43,67
28,84,84,78,79,89,38,59
29,84,88,79,79,83,47,64
30,84,64,41,57,60,84,87
23,83,65,78,78,83,74,69
24,83,63,40,55,66,85,79
23,83,77,78,82,85,65,72
20,83,80,62,82,78,78,70
21,83,77,82,68,81,29,74
25,83,69,85,64,76,39,74
23,83,89,81,72,86,41,71
25,83,77,82,80,81,57,72
23,83,71,27,59,57,83,81
24,83,69,77,79,78,76,79
22,83,90,79,76,84,36,70
24,83,91,81,75,85,33,67
23,83,78,45,68,72,83,80
21,83,92,82,73,84,45,77
25,83,68,36,70,72,84,77
24,83,73,74,79,80,77,80
23,83,85,63,79,84,77,71
23,83,92,81,67,83,35,69
23,83,83,76,82,85,59,67
23,83,74,45,57,66,83,81
23,83,81,80,82,84,43,62
25,83,78,69,79,79,80,76
25,83,77,79,81,86,55,63
25,83,90,80,75,87,39,64
26,83,67,83,63,76,35,82
26,83,91,76,72,88,27,74
25,83,79,84,68,80,36,63
26,83,81,79,71,80,31,72
25,83,72,81,62,76,51,82
27,83,42,57,77,74,79,85
25,83,81,75,81,87,60,66
27,83,72,37,61,61,83,79
27,83,74,76,83,81,55,50
28,83,73,61,73,72,82,74
27,83,75,76,82,84,57,57
26,83,92,79,76,87,42,66
26,83,83,80,81,83,41,69
27,83,55,63,84,81,70,73
33,83,50,53,65,64,84,79
33,83,48,41,61,63,86,72
36,83,69,89,75,80,30,65
33,83,65,82,69,77,43,72
34,83,64,49,60,68,84,74
30,83,80,82,78,84,31,67
32,83,43,60,67,62,82,81
31,83,72,79,78,83,83,82
31,83,61,73,84,82,77,70
30,83,73,82,64,75,49,85
32,83,51,74,78,77,80,80
32,83,61,65,74,70,82,77
31,83,66,83,83,83,45,70
29,83,64,70,83,77,78,80
29,83,56,81,84,80,57,69
28,83,68,77,79,80,68,74
29,83,54,71,80,79,80,71
29,83,54,65,80,77,82,74
31,83,56,57,63,59,83,78
31,83,91,72,77,88,66,67
29,83,73,59,70,78,85,78
28,83,76,67,80,86,63,62
28,83,90,80,74,82,44,70
30,83,63,72,82,81,74,73
28,83,84,82,77,85,39,61
31,83,56,50,61,63,86,82
27,83,65,63,72,74,82,85
28,83,73,85,73,85,30,71
27,83,81,84,62,72,33,75
27,83,80,43,56,64,85,77
27,83,87,77,83,84,35,72
22,82,75,82,79,83,39,61
21,82,91,77,75,84,33,64
22,82,85,80,72,86,39,71
25,82,76,68,81,86,67,70
25,82,77,81,57,77,41,82
24,82,71,73,76,88,65,66
23,82,75,67,77,80,81,75
22,82,62,74,83,76,70,73
23,82,75,39,67,67,81,83
21,82,89,75,76,85,40,73
25,82,92,57,69,81,77,75
24,82,64,39,55,64,85,74
24,82,83,80,75,86,54,65
25,82,94,80,72,80,41,82
23,82,93,76,73,83,41,66
24,82,95,71,74,86,47,61
26,82,73,72,77,77,79,84
25,82,67,74,82,84,64,70
27,82,61,46,68,67,83,76
25,82,78,76,83,87,33,53
28,82,55,35,54,56,84,72
26,82,72,43,67,63,82,78
25,82,86,64,77,81,79,73
26,82,81,57,72,76,80,81
26,82,80,72,77,87,51,58
27,82,71,78,85,86,56,70
27,82,77,73,74,75,83,82
27,82,69,82,68,75,40,81
27,82,78,63,81,78,77,73
26,82,90,52,76,80,74,76
26,82,76,84,79,79,41,83
29,82,74,37,66,64,81,79
28,82,71,49,69,65,83,81
26,82,89,65,76,80,78,78
26,82,50,53,64,69,81,84
26,82,82,77,80,86,47,64
27,82,70,71,81,83,33,62
26,82,87,76,77,81,67,78
25,82,84,77,78,84,42,57
26,82,93,71,74,86,50,52
35,82,59,64,73,69,85,77
38,82,61,82,64,75,49,74
33,82,87,69,77,83,69,53
34,82,56,73,85,83,65,58
29,82,72,75,75,76,78,81
33,82,55,63,81,81,77,68
31,82,62,74,83,83,36,47
32,82,46,81,71,72,42,79
30,82,65,55,63,55,81,78
30,82,85,78,80,85,49,60
33,82,58,49,65,67,81,82
30,82,80,79,77,82,47,82
30,82,81,78,77,85,44,73
29,82,81,77,79,83,46,75
33,82,69,74,81,76,82,79
28,82,76,82,73,79,24,76
31,82,83,78,79,86,46,73
31,82,92,79,75,86,47,69
30,82,50,82,57,66,45,80
29,82,73,77,82,82,72,69
31,82,75,77,77,84,43,56
28,82,56,79,71,69,51,78
26,82,87,78,71,84,42,60
29,82,70,72,78,80,82,77
27,82,80,77,81,85,46,69
28,82,82,60,74,79,81,79
28,82,54,43,55,59,83,85
28,82,90,81,72,80,35,76
27,82,79,75,77,75,78,84
29,82,92,76,74,85,34,71
26,82,80,78,76,83,58,72
27,82,91,79,79,83,40,67
32,82,88,81,65,74,55,75
28,82,71,81,56,76,37,83
31,82,89,81,76,85,58,69
35,82,71,61,57,62,82,80
31,82,81,57,74,77,82,74
21,81,81,77,68,82,40,83
21,81,79,71,79,83,66,67
22,81,80,65,78,87,70,78
21,81,79,50,66,71,81,81
22,81,71,78,77,79,71,79
24,81,74,50,72,72,82,78
22,81,69,67,79,84,68,68
23,81,67,76,79,80,71,68
25,81,70,68,77,79,81,84
24,81,85,61,77,80,75,69
22,81,87,73,73,87,36,65
25,81,81,72,81,84,70,61
26,81,51,67,81,71,69,78
26,81,67,76,79,84,68,60
26,81,69,73,76,79,78,88
25,81,74,80,76,80,57,77
23,81,82,54,75,80,80,78
26,81,89,79,61,79,25,73
26,81,69,74,73,77,79,82
22,81,71,62,67,74,83,82
26,81,52,37,52,56,82,80
26,81,76,81,76,78,39,74
25,81,83,74,67,75,56,82
25,81,90,73,78,83,46,61
25,81,62,58,69,65,82,77
25,81,73,75,82,85,66,57
26,81,69,69,80,83,64,67
27,81,78,70,78,79,77,74
27,81,68,33,48,65,83,75
26,81,64,73,79,80,76,73
27,81,78,75,80,84,37,61
26,81,83,70,75,88,62,54
28,81,55,67,76,67,78,84
27,81,76,79,66,78,45,69
26,81,63,80,59,69,39,83
35,81,77,73,82,86,24,63
35,81,68,64,73,62,83,81
33,81,61,70,82,77,77,78
36,81,75,82,73,80,50,70
33,81,70,82,66,75,36,74
31,81,73,68,77,87,77,80
32,81,53,73,87,77,60,56
33,81,60,43,63,64,82,74
33,81,55,42,54,53,82,79
31,81,67,73,79,79,71,72
35,81,36,38,54,60,81,76
32,81,68,68,81,82,72,68
34,81,77,68,75,73,82,78
32,81,85,79,74,77,43,67
32,81,71,77,82,81,38,67
32,81,49,73,84,74,67,71
31,81,52,48,62,63,82,74
29,81,80,70,78,79,79,89
34,81,64,76,76,75,79,79
31,81,61,62,71,70,81,82
31,81,78,72,80,82,41,58
32,81,81,79,79,87,27,56
31,81,58,60,69,69,80,82
29,81,70,44,64,70,82,74
30,81,48,68,77,72,80,78
28,81,66,73,79,77,79,79
30,81,78,76,78,83,55,66
28,81,68,63,76,75,82,82
28,81,82,77,76,80,77,73
31,81,75,81,73,82,39,70
30,81,56,78,80,81,58,72
28,81,82,73,79,82,58,69
29,81,42,69,73,75,78,79
27,81,76,74,81,86,76,84
31,81,82,72,77,83,26,51
19,80,82,80,74,81,40,70
22,80,76,66,78,80,74,69
22,80,81,30,64,68,79,76
23,80,68,31,63,68,82,72
22,80,63,78,82,78,68,67
24,80,79,49,72,71,79,77
22,80,77,74,81,78,62,68
25,80,64,34,46,63,83,74
23,80,70,58,77,83,71,66
24,80,76,80,53,73,38,71
22,80,83,77,70,84,53,76
24,80,58,50,73,71,77,73
24,80,89,64,73,79,75,81
21,80,82,71,77,82,55,61
22,80,64,38,50,59,81,83
24,80,92,51,70,78,76,66
24,80,81,51,77,77,77,77
22,80,82,77,61,76,30,81
23,80,77,79,69,78,53,72
23,80,79,75,76,83,30,57
24,80,84,75,75,85,39,67
24,80,66,48,69,74,79,85
22,80,73,70,75,78,73,78
23,80,89,53,71,77,77,69
22,80,64,80,68,72,32,79
25,80,45,69,79,80,66,67
24,80,64,51,59,55,78,83
25,80,71,67,81,79,72,74
24,80,75,53,70,71,81,77
25,80,79,51,68,75,78,74
25,80,65,71,78,80,73,80
24,80,91,76,72,83,29,69
23,80,61,47,75,76,78,66
24,80,64,73,76,80,75,62
24,80,62,49,58,61,81,74
25,80,77,79,59,78,31,72
26,80,70,67,79,76,78,74
25,80,82,73,78,84,66,73
26,80,61,73,81,77,73,72
27,80,66,46,74,70,81,72
25,80,88,73,75,87,30,56
26,80,82,61,78,85,74,66
26,80,60,49,62,66,80,79
26,80,73,77,81,83,37,50
24,80,82,73,78,82,43,52
25,80,88,80,70,78,39,81
25,80,76,42,58,62,79,80
25,80,89,74,76,82,48,63
25,80,88,62,76,81,54,62
26,80,77,72,78,85,32,50
27,80,64,41,65,63,81,75
26,80,48,76,81,77,65,73
26,80,68,61,64,59,81,80
26,80,71,32,63,54,82,74
25,80,63,74,77,79,76,83
27,80,87,78,67,77,39,75
28,80,59,59,67,65,83,79
26,80,65,78,74,75,70,75
27,80,77,43,74,75,75,81
28,80,52,49,71,73,77,77
28,80,70,56,64,61,80,78
27,80,81,78,76,81,58,75
27,80,60,73,78,77,70,66
25,80,67,75,82,84,59,58
27,80,75,78,65,77,32,72
27,80,69,66,72,72,80,80
27,80,67,68,77,80,76,74
37,80,66,78,83,82,44,56
33,80,64,81,80,76,56,76
32,80,72,75,79,86,37,62
35,80,66,53,72,68,79,75
33,80,69,82,71,71,43,83
37,80,39,83,67,70,41,70
33,80,52,58,69,66,81,76
35,80,60,81,61,79,35,67
32,80,64,64,65,68,83,69
28,80,77,62,74,79,80,75
27,80,75,77,79,82,51,72
32,80,47,82,80,77,72,81
36,80,53,65,62,60,81,71
30,80,73,77,81,77,76,75
32,80,60,78,85,81,45,59
34,80,73,81,74,85,55,75
32,80,59,67,81,75,74,75
34,80,77,75,80,82,34,48
30,80,65,64,72,72,83,77
30,80,65,51,62,60,82,77
30,80,52,71,74,73,78,77
32,80,75,69,76,76,77,72
32,80,33,41,54,53,82,81
35,80,53,51,76,71,81,69
29,80,70,55,61,64,78,82
30,80,75,70,77,86,42,57
31,80,71,79,72,75,58,86
29,80,86,72,74,83,34,64
28,80,74,60,81,76,78,72
28,80,66,47,63,67,83,72
29,80,70,61,75,74,75,78
30,80,66,80,78,79,59,72
29,80,86,81,70,76,32,73
30,80,42,55,71,68,79,86
28,80,70,66,75,78,78,77
32,80,78,85,76,80,47,86
29,80,57,72,80,73,77,80
29,80,69,47,58,58,79,81
31,80,45,32,44,53,79,82
28,80,86,75,73,84,58,68
27,80,73,57,71,67,80,79
28,80,75,73,79,83,61,67
29,80,73,76,78,83,57,71
29,80,60,78,70,75,43,78
29,80,54,40,59,62,80,78
26,80,86,73,80,83,48,53
28,80,88,76,68,84,27,68
30,80,75,40,59,60,82,79
29,80,76,79,80,81,59,67
27,80,78,77,81,82,36,62
27,80,89,75,76,81,48,61
29,80,82,66,74,81,75,75
28,80,75,64,77,78,78,73
28,80,62,49,65,63,80,81
28,80,76,79,62,77,50,84
27,80,77,55,74,75,79,77
27,80,66,73,78,83,50,60
28,80,78,78,71,75,47,79
26,80,87,69,76,85,38,44
29,80,67,61,72,69,78,80
29,80,55,58,73,78,75,83
27,80,87,70,79,80,52,68
30,80,72,79,61,75,31,77
28,80,88,79,63,65,41,90
35,80,68,62,74,76,78,77
31,80,79,54,76,78,75,74
18,79,93,70,71,85,29,63
22,79,70,58,78,81,70,74
21,79,76,75,75,81,60,77
21,79,87,50,63,78,80,72
20,79,78,27,54,68,80,78
23,79,69,73,77,80,71,74
21,79,74,49,74,74,76,85
23,79,74,68,79,76,72,69
21,79,85,74,71,83,44,64
21,79,80,76,76,82,48,61
25,79,76,64,75,80,78,73
22,79,93,70,70,87,23,63
23,79,91,76,75,79,49,74
22,79,74,44,65,67,78,76
20,79,90,68,70,84,36,58
22,79,72,72,72,77,78,88
20,79,92,62,72,80,74,74
23,79,73,49,69,72,77,77
22,79,61,62,77,73,73,68
20,79,62,34,61,50,80,80
21,79,83,73,77,80,47,56
24,79,72,81,60,73,35,71
23,79,70,67,76,81,62,79
24,79,64,63,76,78,70,66
24,79,75,42,63,68,79,78
23,79,85,50,63,71,79,75
23,79,81,71,75,82,65,67
23,79,77,37,70,76,78,76
23,79,69,47,72,70,81,74
23,79,90,78,71,83,44,63
22,79,78,49,71,77,76,75
22,79,77,76,68,73,38,88
24,79,70,68,72,72,79,82
22,79,85,64,72,74,75,76
24,79,60,71,85,77,62,64
24,79,76,76,74,82,29,56
24,79,75,69,77,84,45,62
24,79,78,53,66,67,80,75
23,79,80,64,74,83,28,68
23,79,80,57,73,74,78,83
23,79,84,77,75,81,35,66
22,79,85,64,79,81,72,78
22,79,75,72,82,79,39,57
23,79,77,75,63,78,43,75
22,79,84,77,72,81,45,79
24,79,90,73,72,83,37,50
22,79,89,74,74,82,49,70
25,79,54,63,71,64,80,84
24,79,83,80,76,82,30,62
25,79,77,52,70,76,78,70
24,79,75,73,78,77,70,75
24,79,73,64,72,73,78,80
24,79,74,61,75,75,77,73
23,79,64,59,77,77,68,66
27,79,58,31,58,57,79,80
25,79,70,73,77,80,56,73
27,79,75,40,59,63,79,80
26,79,58,45,66,63,79,78
26,79,71,39,58,64,80,75
25,79,76,79,58,78,33,72
25,79,65,80,76,77,70,69
26,79,75,62,72,73,75,87
27,79,62,66,71,69,80,75
24,79,76,76,76,81,42,55
26,79,71,77,59,75,29,75
25,79,82,80,61,73,45,80
26,79,84,53,69,76,75,73
27,79,56,40,52,50,80,79
27,79,60,57,63,61,77,77
28,79,56,49,47,56,80,76
25,79,81,50,70,72,76,81
28,79,64,35,62,61,78,82
26,79,73,58,75,75,78,74
26,79,76,73,75,80,74,69
26,79,85,78,66,73,32,74
26,79,77,44,58,68,78,80
26,79,79,78,67,78,27,68
26,79,71,77,81,77,64,80
29,79,53,33,65,56,78,83
27,79,88,79,69,79,38,75
27,79,71,77,67,71,47,86
29,79,53,45,55,48,80,79
27,79,55,51,61,58,78,76
26,79,77,59,73,76,77,76
26,79,81,64,74,80,76,73
27,79,79,54,76,77,74,76
27,79,83,53,69,75,76,77
27,79,71,73,79,81,66,68
27,79,71,69,81,79,66,68
26,79,77,75,72,79,33,67
27,79,66,49,66,68,79,78
27,79,78,66,72,75,76,74
27,79,87,74,72,80,36,66
37,79,65,81,74,80,34,67
33,79,80,81,65,69,34,77
33,79,65,78,74,85,43,59
35,79,36,52,67,63,80,76
33,79,69,67,73,75,78,73
34,79,84,79,78,83,40,71
34,79,48,69,84,82,66,60
34,79,51,38,50,51,78,82
31,79,56,32,59,53,80,75
33,79,58,79,78,79,41,66
33,79,50,49,69,70,80,71
32,79,74,61,76,72,79,75
32,79,74,78,76,80,61,67
32,79,65,46,59,59,79,75
32,79,65,79,78,80,67,77
33,79,68,70,76,78,71,74
33,79,63,61,71,74,80,68
32,79,74,79,61,79,34,64
31,79,47,74,81,76,67,67
32,79,86,78,73,83,29,65
31,79,60,74,79,70,75,79
30,79,74,65,73,77,79,71
31,79,67,71,79,82,62,65
31,79,74,78,63,72,35,80
31,79,84,78,73,81,42,62
29,79,80,64,71,74,78,81
33,79,82,64,75,76,71,76
29,79,71,37,62,66,80,74
31,79,67,76,64,74,42,72
32,79,69,78,69,75,48,82
30,79,74,68,78,82,79,74
29,79,92,76,73,82,42,72
33,79,78,72,77,78,75,76
29,79,69,77,62,70,37,82
30,79,62,67,75,84,54,45
27,79,64,68,80,81,63,66
29,79,69,54,75,74,79,69
29,79,75,74,79,84,41,54
30,79,62,73,81,82,56,58
30,79,53,55,66,54,79,83
33,79,72,75,78,81,40,45
29,79,81,77,73,77,49,76
29,79,61,79,63,75,38,73
29,79,72,63,74,71,79,72
28,79,74,70,71,72,79,76
30,79,52,42,63,59,80,76
27,79,71,77,69,78,36,81
29,79,68,80,78,82,42,70
28,79,76,80,77,79,43,68
33,79,67,71,76,75,75,78
31,79,74,74,77,79,72,76
27,79,71,70,74,74,78,76
31,79,49,53,60,56,79,84
29,79,76,76,76,79,41,75
30,79,54,63,76,73,76,71
28,79,82,73,60,78,33,78
31,79,76,67,74,73,78,76
30,79,71,61,74,77,71,77
28,79,83,49,73,79,73,67
31,79,81,72,75,84,46,54
28,79,77,79,78,78,55,67
32,79,70,76,64,76,33,66
30,79,57,66,70,70,79,84
29,79,75,60,75,75,78,75
27,79,83,71,72,81,75,69
28,79,76,79,68,73,30,75
29,79,80,80,66,75,38,73
32,79,68,41,44,59,80,74
29,79,51,54,59,57,79,83
30,79,70,67,73,76,74,77
29,79,55,81,53,71,30,86
28,79,82,75,60,75,48,80
28,79,64,73,79,71,80,82
35,79,79,51,70,78,77,67
31,79,70,48,60,52,79,78
31,79,71,70,70,72,80,83
31,79,84,79,65,80,27,66
21,78,94,77,68,81,22,64
20,78,62,37,64,68,77,77
22,78,70,66,75,79,64,67
21,78,87,66,74,83,63,62
22,78,54,43,56,63,80,76
23,78,60,40,54,55,78,79
22,78,82,63,75,76,79,82
22,78,67,36,52,55,79,79
22,78,90,74,67,82,34,56
21,78,89,70,72,82,33,60
21,78,82,75,74,82,37,50
20,78,74,69,82,85,40,49
23,78,89,75,69,82,36,62
22,78,73,67,76,83,54,64
22,78,71,66,80,79,77,66
22,78,82,75,53,73,34,77
25,78,68,70,73,73,75,84
24,78,58,72,75,75,74,76
24,78,67,72,77,71,78,83
23,78,73,66,75,84,64,68
22,78,71,34,62,69,78,75
22,78,78,75,60,76,43,81
23,78,93,63,70,84,33,51
25,78,82,53,61,64,78,81
22,78,72,47,73,76,77,65
23,78,72,81,78,80,63,56
24,78,62,67,74,71,76,74
23,78,72,46,69,71,79,76
24,78,67,66,78,82,63,52
25,78,72,76,67,75,34,79
25,78,75,73,78,82,35,63
24,78,76,76,53,72,43,76
25,78,72,68,76,78,72,72
24,78,82,76,67,75,27,74
25,78,64,61,75,74,76,78
23,78,74,66,78,79,31,62
25,78,75,54,63,63,79,75
24,78,64,63,73,77,75,73
24,78,51,54,55,56,78,80
24,78,63,74,78,76,67,67
22,78,62,53,66,64,79,83
22,78,75,74,78,81,47,74
25,78,64,78,74,74,40,71
25,78,59,28,51,57,78,80
25,78,76,72,79,83,59,56
24,78,67,39,59,62,78,77
23,78,87,73,71,83,43,66
26,78,71,55,66,72,76,81
23,78,67,62,79,83,65,65
24,78,62,77,55,69,27,83
25,78,40,33,48,46,78,79
24,78,66,68,72,74,79,74
23,78,80,50,66,71,76,87
24,78,66,42,56,57,79,76
27,78,60,37,56,54,76,83
26,78,63,71,78,77,71,69
25,78,82,72,73,80,37,70
25,78,66,61,74,78,75,83
25,78,85,70,74,81,42,64
24,78,77,77,74,82,37,67
25,78,61,63,71,74,77,73
26,78,90,41,68,76,73,79
25,78,76,75,67,81,54,66
25,78,83,62,70,77,75,75
25,78,83,72,72,80,43,73
26,78,88,75,71,83,34,62
28,78,64,47,58,62,80,67
27,78,47,45,51,48,78,80
28,78,49,57,61,65,78,79
27,78,46,40,55,61,78,77
28,78,63,36,50,62,80,79
27,78,73,66,76,73,74,75
26,78,77,74,77,80,40,67
26,78,64,46,63,62,78,74
26,78,63,61,72,76,74,76
24,78,90,72,71,84,32,63
27,78,76,46,52,69,78,79
28,78,68,53,59,67,78,83
28,78,51,65,67,70,79,82
28,78,70,50,51,62,78,77
27,78,73,78,70,73,33,80
27,78,58,76,79,76,67,66
27,78,74,77,70,78,36,79
27,78,76,80,69,77,40,68
27,78,74,63,71,74,74,78
29,78,54,60,67,66,78,78
27,78,66,69,75,75,70,69
27,78,60,39,74,74,74,78
26,78,34,49,61,48,80,77
27,78,76,74,78,79,50,59
26,78,76,69,76,78,47,62
26,78,70,75,76,82,41,62
26,78,75,71,76,81,33,58
26,78,88,63,74,78,62,69
27,78,62,28,47,54,80,78
27,78,82,63,69,76,73,83
27,78,78,37,50,65,79,75
27,78,65,78,58,61,32,74
35,78,68,77,74,78,45,71
34,78,69,69,81,80,63,65
34,78,62,76,80,84,44,62
36,78,68,53,68,68,77,77
32,78,77,80,70,85,42,68
41,78,36,51,67,66,80,71
35,78,47,79,69,71,44,79
34,78,37,58,58,54,80,76
32,78,83,79,71,80,36,73
33,78,64,61,70,60,77,69
32,78,75,56,61,52,78,77
32,78,72,72,76,80,37,51
33,78,54,37,57,58,80,70
29,78,76,53,70,76,76,70
29,78,72,67,78,78,68,70
32,78,90,70,71,80,35,59
30,78,31,69,81,77,74,67
31,78,60,71,78,76,74,68
31,78,76,73,76,80,43,61
33,78,44,69,73,71,77,77
32,78,74,66,71,74,78,72
28,78,77,69,74,81,73,70
32,78,75,62,77,79,76,70
30,78,41,32,57,54,80,75
30,78,74,76,71,75,44,81
32,78,67,73,78,79,56,68
33,78,68,75,66,77,40,76
32,78,61,32,46,56,82,76
31,78,70,77,64,75,31,59
33,78,44,66,68,68,78,85
30,78,83,75,75,80,31,54
31,78,59,37,57,54,78,76
32,78,51,49,58,55,77,87
29,78,67,80,76,80,35,63
32,78,74,51,65,70,79,73
35,78,69,65,75,74,76,76
32,78,79,75,76,80,53,74
31,78,57,79,67,71,37,85
30,78,54,57,65,66,81,80
30,78,67,39,67,66,78,74
30,78,59,79,59,66,45,73
30,78,84,72,75,79,47,54
31,78,59,79,53,65,36,82
35,78,31,71,77,70,76,62
30,78,58,74,79,76,70,65
30,78,43,69,69,64,79,80
28,78,77,74,70,77,43,74
29,78,62,78,68,74,47,81
28,78,54,75,80,76,62,69
29,78,54,60,70,68,79,72
30,78,72,64,75,75,73,72
29,78,83,75,68,82,33,71
29,78,71,77,79,79,40,59
28,78,71,77,71,80,44,68
30,78,39,53,67,61,78,73
29,78,64,67,79,78,75,67
30,78,68,63,70,72,78,84
29,78,53,31,51,58,81,74
31,78,35,69,74,69,77,79
31,78,68,49,69,68,78,81
